Dim,Bubblesort,Insertionsort,Selectionsort,Standardsort,Mergesort,Quicksort,QuickOttimo
78,3.88389e-05,1.23167e-05,1.96853e-05,8.16002e-06,2.75892e-05,7.99669e-06,7.63219e-06
79,4.11847e-05,1.29983e-05,2.07453e-05,8.62829e-06,2.89966e-05,7.94945e-06,8.42341e-06
80,4.84128e-05,1.33234e-05,2.16525e-05,8.77764e-06,2.88049e-05,7.74923e-06,7.73222e-06
81,4.27876e-05,1.78888e-05,2.13566e-05,9.43978e-06,3.00579e-05,8.08131e-06,8.16629e-06
82,4.53347e-05,1.57773e-05,2.68381e-05,1.00911e-05,3.29487e-05,9.31274e-06,9.68991e-06
83,4.67124e-05,1.56589e-05,2.6197e-05,1.12563e-05,2.96488e-05,8.17033e-06,8.47831e-06
84,4.275e-05,1.61523e-05,2.36257e-05,8.89201e-06,3.05398e-05,7.88891e-06,7.6539e-06
85,4.3897e-05,1.6649e-05,2.65394e-05,1.03838e-05,3.68203e-05,1.0134e-05,9.90901e-06
86,4.24915e-05,2.43209e-05,3.93836e-05,9.14264e-06,4.18033e-05,9.64473e-06,1.05614e-05
87,4.77242e-05,1.5495e-05,2.33546e-05,9.56292e-06,3.2404e-05,1.07067e-05,9.97276e-06
88,5.93001e-05,3.26177e-05,4.53341e-05,1.80184e-05,4.07741e-05,8.7091e-06,1.02609e-05
89,5.44963e-05,1.54696e-05,3.27661e-05,1.58707e-05,5.01674e-05,1.1801e-05,1.17381e-05
90,5.91575e-05,2.57737e-05,2.60288e-05,9.669e-06,3.17522e-05,9.09362e-06,8.67153e-06
91,5.37941e-05,1.71069e-05,2.63257e-05,1.00184e-05,3.16009e-05,9.18538e-06,8.9117e-06
92,6.39553e-05,2.00215e-05,3.2749e-05,1.17656e-05,3.50375e-05,9.91319e-06,9.60703e-06
93,6.50489e-05,2.32461e-05,3.97649e-05,1.6634e-05,5.34435e-05,1.40822e-05,1.65085e-05
94,5.90104e-05,1.78245e-05,2.69752e-05,9.84367e-06,3.46261e-05,9.16322e-06,1.01955e-05
95,5.40498e-05,1.76469e-05,2.73159e-05,1.03941e-05,3.52306e-05,1.01741e-05,1.01786e-05
96,8.24981e-05,3.77713e-05,5.17523e-05,2.06956e-05,4.61375e-05,1.26215e-05,1.39462e-05
97,6.64829e-05,1.96184e-05,2.8997e-05,1.05549e-05,3.46311e-05,9.97823e-06,1.01236e-05
98,9.83908e-05,1.97075e-05,2.94907e-05,1.07205e-05,4.26628e-05,1.5985e-05,1.36553e-05
99,7.44943e-05,2.12573e-05,3.96939e-05,1.10064e-05,3.60025e-05,1.00648e-05,9.85274e-06
100,6.64553e-05,2.5427e-05,3.0812e-05,1.11919e-05,3.53435e-05,1.01869e-05,1.02826e-05
