Dim,Bubblesort,Insertionsort,Selectionsort,Standardsort,Mergesort,Quicksort,QuickOttimo
77,1.55848e-05,1.678e-06,5.1549e-06,2.23475e-06,5.98688e-06,2.49227e-06,1.97304e-06
78,1.61037e-05,1.53252e-06,4.43112e-06,1.89237e-06,7.83928e-06,3.34723e-06,2.17996e-06
79,2.01761e-05,1.87719e-06,5.24627e-06,2.43512e-06,6.36532e-06,2.63118e-06,2.37945e-06
80,2.22224e-05,2.28029e-06,7.32824e-06,2.79868e-06,8.45222e-06,3.22191e-06,3.22309e-06
81,2.74313e-05,2.0348e-06,6.80571e-06,2.57961e-06,7.22922e-06,3.70218e-06,2.93148e-06
82,2.35004e-05,2.0293e-06,6.36649e-06,2.49551e-06,6.94902e-06,3.34274e-06,2.10065e-06
83,2.25724e-05,2.64815e-06,7.54402e-06,3.43137e-06,8.58784e-06,3.7066e-06,3.54033e-06
84,3.36862e-05,5.01744e-06,1.24269e-05,3.52734e-06,1.41518e-05,5.59157e-06,4.64424e-06
85,3.72777e-05,3.68078e-06,1.07241e-05,4.70824e-06,1.15359e-05,5.43814e-06,4.69677e-06
86,3.52045e-05,5.18021e-06,1.11914e-05,3.78823e-06,1.00125e-05,4.20702e-06,3.60276e-06
87,3.43316e-05,3.46707e-06,9.88811e-06,3.89939e-06,9.28378e-06,4.20142e-06,3.83484e-06
88,3.44169e-05,4.4875e-06,8.87315e-06,3.29039e-06,1.0345e-05,4.13891e-06,3.60933e-06
89,3.91365e-05,3.2304e-06,9.21103e-06,4.1697e-06,1.03152e-05,4.7008e-06,4.0428e-06
90,3.87079e-05,4.55131e-06,9.54244e-06,4.33983e-06,1.2029e-05,4.94956e-06,4.35617e-06
91,4.40409e-05,3.73067e-06,8.81894e-06,3.43218e-06,9.86988e-06,3.9886e-06,3.27239e-06
92,3.35019e-05,3.25401e-06,8.26712e-06,2.95349e-06,8.28292e-06,3.4413e-06,3.1631e-06
93,2.84314e-05,2.81976e-06,8.23863e-06,2.97838e-06,9.94238e-06,3.71333e-06,2.50611e-06
94,2.70851e-05,2.13019e-06,5.94376e-06,2.53809e-06,6.33639e-06,2.99481e-06,2.69594e-06
95,3.69589e-05,2.9945e-06,9.27845e-06,3.93916e-06,9.76609e-06,4.48883e-06,4.07295e-06
96,3.82098e-05,3.53295e-06,1.0705e-05,4.19413e-06,1.14066e-05,4.94239e-06,4.33447e-06
97,5.381e-05,4.8e-06,1.2907e-05,5.53315e-06,1.29392e-05,6.41069e-06,5.60724e-06
98,5.98586e-05,6.07408e-06,1.57744e-05,5.74726e-06,1.49394e-05,6.50035e-06,5.77215e-06
99,5.9772e-05,6.89107e-06,2.01432e-05,6.08088e-06,1.70281e-05,6.2154e-06,5.67594e-06
100,4.90997e-05,4.53103e-06,1.23056e-05,4.34288e-06,1.06625e-05,7.21643e-06,5.52213e-06
