Dim,Bubblesort,Insertionsort,Selectionsort,Standardsort,Mergesort,Quicksort,QuickOttimo
87,3.27082e-05,1.02149e-05,2.03527e-05,8.11117e-06,2.31688e-05,6.01203e-06,5.50548e-06
88,3.38407e-05,1.04017e-05,2.08361e-05,8.50465e-06,2.4476e-05,6.17458e-06,5.81145e-06
89,3.40931e-05,1.09048e-05,2.17208e-05,8.74117e-06,2.42752e-05,6.39557e-06,5.73839e-06
90,3.63568e-05,1.09368e-05,2.21666e-05,8.45546e-06,2.46894e-05,7.66072e-06,5.39362e-06
91,3.58851e-05,1.13918e-05,2.30448e-05,9.31693e-06,2.64231e-05,6.64407e-06,6.00558e-06
92,4.36553e-05,1.48073e-05,2.29609e-05,9.07097e-06,2.86557e-05,8.07548e-06,7.92478e-06
93,4.3965e-05,1.14294e-05,2.34056e-05,8.78635e-06,2.48823e-05,6.46641e-06,5.7166e-06
94,3.74406e-05,1.1586e-05,2.34821e-05,8.95796e-06,2.50993e-05,6.60276e-06,6.08867e-06
95,4.69832e-05,1.68036e-05,2.78728e-05,9.42714e-06,3.16523e-05,8.7038e-06,8.53926e-06
96,4.52838e-05,1.60155e-05,2.68427e-05,1.01922e-05,3.08042e-05,8.421e-06,8.61621e-06
97,4.65443e-05,1.62769e-05,2.82625e-05,1.8496e-05,5.05075e-05,9.79281e-06,1.0751e-05
98,4.01296e-05,1.27595e-05,2.52141e-05,9.43299e-06,2.65724e-05,7.11129e-06,6.78108e-06
99,4.91144e-05,1.59383e-05,2.76705e-05,9.52565e-06,2.94192e-05,9.17736e-06,8.3274e-06
100,4.93008e-05,1.74133e-05,2.69436e-05,9.92949e-06,3.08377e-05,8.94358e-06,8.7891e-06
